Employee_ID,First_Name,Last_Name,Address,City,Cannot_Drive,Password,Admin,Driver_ID,Passenger_Rides,Driver_Rides,Rank
0,John,Smith,198 Cougar Plateau Way SW,Calgary,0,password0,0,0,0,0,0
1,Jane,Doe,147 Prominence Heights SW,Calgary,1,password1,0,,0,0,0
2,Matthew,McConnell,70 Elkton Way SW,Calgary,0,password2,1,1,0,0,0
3,Kevin,Van,187 Tremblant Way SW,Calgary,0,password3,1,2,0,0,0
4,Gus,Bravo,154 Aspen Summit Cl SW,Calgary,0,password4,1,3,0,0,0
5,Vanessa,Chen,317 Wentworth Pl SW,Calgary,0,password5,1,4,0,0,0
6,Kenny,Jeon,25 Wentworth Terrace SW,Calgary,1,password6,1,,0,0,0
7,Josh,McConnell,147 Strathcona Close SW,Calgary,0,password7,0,5,0,0,0
8,Brendan,Arthurs,24 Aspen Hills Close SW,Calgary,0,password8,0,6,0,0,0
9,Carson,Eades,25 Wentworth Terrace SW,Calgary,0,password9,0,7,0,0,0
